,Life_expectancy
2026,76.1
651,75.7
2225,72.8
2357,76.6
670,50.6
1041,78.1
1241,76.0
2472,73.3
2292,78.6
461,78.0
944,77.7
157,74.3
1740,78.6
1525,69.0
1611,58.5
238,79.5
2028,70.9
1710,59.1
1797,73.4
100,59.3
315,54.1
2487,74.7
838,75.0
2394,46.1
1576,79.0
261,51.7
1717,71.6
2594,61.0
2104,65.4
1146,72.3
179,60.7
1912,70.4
916,72.2
2407,78.6
1057,62.8
1105,61.5
480,70.6
2786,72.3
2377,52.2
1866,73.3
1018,74.1
874,62.7
2306,55.4
1951,74.8
1044,78.7
2643,76.5
1738,69.8
2011,69.6
803,65.7
247,68.2
2042,51.6
1934,67.6
347,66.8
2234,50.9
2012,73.5
2172,67.4
1684,59.1
2506,81.6
1656,78.0
1553,75.8
2018,73.6
445,45.2
617,64.3
1106,81.5
1641,82.0
2416,80.1
990,75.6
1426,60.3
2436,60.6
547,58.6
1610,75.2
263,74.5
1133,65.2
2392,82.3
353,68.2
208,71.4
858,69.4
748,74.0
2144,64.1
1591,50.6
2376,71.3
57,76.1
862,65.4
2090,55.0
561,51.1
229,77.5
1565,81.5
1272,74.3
781,65.1
929,75.2
1048,55.1
1765,60.7
1864,75.2
424,67.8
69,74.6
1688,77.1
1477,73.0
1532,57.9
1922,71.8
1373,71.4
620,83.1
746,75.9
1756,77.9
1867,44.5
829,57.7
1073,50.2
2465,72.2
1746,79.7
1860,67.8
279,81.1
764,74.5
729,70.7
1914,69.9
1739,46.2
1927,59.8
1754,69.6
596,71.1
2183,48.5
2033,68.7
2596,78.5
440,81.0
508,46.2
76,76.2
1732,74.7
649,53.4
522,75.4
1357,62.1
845,76.9
1364,71.6
842,73.6
1405,74.1
1948,73.3
1502,64.8
630,81.2
1898,66.6
1377,54.9
761,74.8
482,60.7
2136,64.8
1189,70.4
2447,65.4
945,82.9
438,81.4
1544,82.7
1407,75.4
1804,49.6
166,74.5
59,73.1
611,73.1
530,76.3
1551,52.1
49,72.6
1351,77.9
811,73.5
2700,77.2
48,70.0
719,70.4
2241,75.6
1432,72.6
2439,73.2
2711,73.6
632,60.3
1886,80.5
1010,66.6
2286,72.3
25,73.5
1226,66.7
2091,74.4
276,68.0
2057,48.1
789,57.1
2037,75.9
361,57.9
1089,65.5
1651,68.9
1518,68.9
2226,72.0
2444,49.9
1706,66.1
2510,62.1
297,72.2
1849,73.9
240,71.2
2308,66.2
582,66.7
1047,67.9
1374,55.1
1264,75.7
2330,68.4
350,66.3
2622,72.8
2186,79.2
349,47.8
2372,55.4
1128,79.5
859,59.7
867,56.1
2381,74.1
657,44.4
1743,71.0
2721,73.1
1124,46.8
2356,78.7
2451,73.7
1720,80.6
976,72.6
2370,79.3
1084,70.6
538,69.0
2863,82.4
1762,78.6
2671,51.1
2270,79.0
786,69.9
2571,75.2
2328,79.0
788,76.9
2828,73.8
1100,78.6
1831,76.7
714,71.4
1195,57.2
1593,79.7
123,73.0
2275,63.7
2797,80.6
618,70.5
406,61.3
2170,80.5
1210,74.1
1452,74.5
497,73.0
2835,61.4
342,65.4
2161,78.9
782,73.3
2259,53.7
299,79.8
964,76.6
2692,65.9
998,58.3
949,54.4
1941,65.6
1562,59.7
220,61.4
1712,72.0
856,73.1
449,78.9
1618,66.1
2832,76.4
1945,80.7
84,83.2
2174,58.5
2534,53.8
621,76.0
266,73.8
1001,73.0
290,72.2
1486,52.7
1626,66.7
1448,50.3
416,74.9
472,56.1
1094,75.5
2190,61.8
2380,70.2
1488,73.7
2362,76.3
2774,51.5
654,50.9
1993,80.4
1960,71.4
1173,80.8
821,56.1
343,74.7
2629,74.7
2855,78.0
1269,69.2
1966,46.6
278,79.1
1345,72.0
1475,50.3
1537,73.7
1741,63.1
18,81.9
613,66.3
643,78.5
1613,82.9
2771,62.9
1032,82.3
2805,57.5
2701,76.3
2086,64.9
1071,71.9
1134,52.7
1569,72.5
1784,76.9
2229,72.6
2811,76.7
1957,79.6
680,69.9
952,58.3
1965,73.9
1798,79.3
